hanja	readings	wonhoek	pilhoek	element	meaning	namefit	avoid
㒃	이	14	14	火		0	1
㒚	온,은	16	16	火		0	1
㒤	섭	20	20	火		0	1
㓏	경	9	9	水		0	1
㓗	결	14	14	水		0	1
㔕	글	6	6			0	1
㔡	별	12	12			0	1
㖀	률,율	9	9	水		0	1
㗿	하	16	16	水		0	1
㘔	새	20	20	水		0	1
㙫	집	15	15	土		0	1
㙯	예	15	15	土		0	1
㚱	구	8	8	土		0	1
㚾	형	8	8	土		0	1
㛃	결	9	9	土		0	1
㛄	의	9	9	土		0	1
㛅	이	9	9	土		0	1
㛆	타	9	9	土		0	1
㛦	남,람	11	11	土		0	1
㜏	운	13	13	土		0	1
㜖	조	14	14	土		0	1
㜣	연	15	15	土		0	1
㜯	희	17	17	土		0	1
㜺	찬	22	22	土		0	1
㝢	우	12	12	木		0	1
㞼	승	8	8	土		0	1
㟳	률	13	13	土		0	1
㠌	기	15	15	土		0	1
㠘	서	17	17	土		0	1
㠱	기	11	11	土		0	1
㡸	사	8	8	木		0	1
㢃	낭,랑	10	10	木		0	1
㢋	치	11	11	木		0	1
㢺	현	11	11	金		0	1
㣧	윤	11	11	火		0	1
㣭	종	12	12	火		0	1
㣽	서	7	7	火		0	1
㤊	효	8	7	火		0	1
㤖	저	9	8	火		0	1
㤞	탁	10	9	火		0	1
㥁	덕	12	12	火		0	1
㥠	서	13	12	火		3	1
㥥	우	13	12	火		0	1
㥯	은	14	14	火		0	1
㥼	언,은	15	14	火		0	1
㦀	봉	15	14	火		0	1
㦃	산	15	14	火		0	1
㦆	하	15	14	火		0	1
㦐	니,이	16	15	火		0	1
㦕	륭	16	15	火		0	1
㦥	헌	20	19	火		0	1
㦳	재	9	9	金		0	1
㦶	용	10	10	金		0	1
㧢	인	10	9	木		0	1
㨙	혜	14	13	木		0	1
㨜	건	14	13	木		0	1
㨣	옹	14	13	木		0	1
㨹	설	15	14	木		0	1
㩳	송	22	21	木		0	1
㩴	구	22	21	木		0	1
㩵	알	24	23	木		0	1
㩼	지	10	10	土		0	1
㪤	필	15	15	金		0	1
㫜	단	9	9	火		0	1
㫰	랑	11	11	火		0	1
㫶	주	12	12	火		0	1
㬂	우	13	13	火		0	1
㬃	대	13	13	火		0	1
㬈	온	13	13	火		0	1
㬎	현	14	14	火		0	1
㬚	철	16	16	火		0	1
㬣	대	18	18	火		0	1
㬳	오	8	8	水		0	1
㭲	극,급	11	11	木		0	1
㭸	도	12	12	木		0	1
㭹	현	12	12	木		0	1
㮁	효	12	12	木		0	1
㯖	덕,적	16	16	木		0	1
㯙	철	16	16	木		0	1
㯝	로	16	16	木		0	1
㯳	경	17	17	木		0	1
㰔	섭	21	21	木		0	1
㰤	하	9	9	火		0	1
㰩	해	10	10	火		0	1
㰫	참	10	10	火		0	1
㰭	후	10	10	火		0	1
㱆	희	17	17	火		0	1
㲀	진	11	11	金		0	1
㲽	인	7	6	水		0	1
㲾	우	7	7	水		0	1
㳄	연	8	7	水		0	1
㳘	충	10	9	水		0	1
㳹	왕	12	11	水		0	1
㳼	필	12	12	水		0	1
㴍	승	12	11	水		0	1
㵒	비	16	15	水		0	1
㵛	선	16	15	水		0	1
㵟	미	17	16	水		0	1
㵪	선,연	17	16	水		0	1
㵿	효	19	18	水		0	1
㶡	화	6	6	火		0	1
㶼	애	11	11	火		0	1
㷂	서	12	12	火		0	1
㷏	옹	13	13	火		0	1
㷡	경	14	14	火		0	1
㸎	섭	22	22	火		0	1
㸾	인	11	11	土		0	1
㺿	이	11	10	金		0	1
㻄	보	11	10	金		0	1
㻍	오	12	11	金		0	1
㻭	슬	16	15	金		0	1
㻽	선,수	18	17	金		0	1
㼄	기	20	19	金		0	1
㽘	강	9	9	土		0	1
㽥	유	14	14	土		0	1
㿩	당	25	25	金		0	1
䀭	해	11	11	木		0	1
䀯	보	12	12	木		0	1
䀴	영	12	12	木		0	1
䀸	절,체	12	12	木		0	1
䁐	영	14	14	木		0	1
䁗	개	15	15	木		0	1
䁢	선	16	16	木		0	1
䂦	진	10	10	金		0	1
䂩	연	11	11	金		0	1
䃉	민	14	14	金		0	1
䄄	인	11	11	木		0	1
䄇	정	12	12	木		0	1
䄉	아	12	12	木		0	1
䄗	연	14	14	木		0	1
䄷	석	10	10	木		3	1
䅨	향	14	14	木		0	1
䆑	정	7	7	水		0	1
䆚	동	11	11	水		0	1
䆬	운	15	15	水		0	1
䆸	정	17	17	水		0	1
䉙	운	18	18	木		0	1
䊡	만	17	17	木		0	1
䊨	라	18	18	木		0	1
䋍	아	11	11	木		0	1
䋛	미	12	12	木		0	1
䋴	유	15	15	木		0	1
䌥	은	20	20	木		0	1
䍘	미	12	11	木		0	1
䎙	빈	20	20	火		0	1
䎸	오	13	13	火		0	1
䎻	주	14	14	火		0	1
䏇	표	17	17	火		0	1
䏓	원	10	8	水		0	1
䏧	나	12	10	水		0	1
䏪	이	12	10	水		0	1
䑃	몽	20	18	水		0	1
䑐	진	11	11			0	1
䒤	일	10	8	木		0	1
䔒	배	17	15	木		0	1
䕦	영	22	20	木		0	1
䗲	린,인	18	18	水		0	1
䘘	소,어	16	16	火		0	1
䙘	초,축	17	17	木		0	1
䚂	혁	14	14	火		0	1
䚟	대	15	15	木		0	1
䚷	혜	11	11	金		0	1
䛃	완	11	11	金		0	1
䛆	주	12	12	金		0	1
䛈	시	12	12	金		0	1
䛋	자	12	12	金		0	1
䛔	나	13	13	金		0	1
䛘	임	13	13	金		0	1
䛥	흔,희	14	14	金		0	1
䛲	면	15	15	金		0	1
䛵	수	15	15	金		0	1
䜅	유	18	18	金		0	1
䜌	난,란,련,연	19	19	金		0	1
䜔	수	20	20	金		0	1
䜪	구	9	9	水		0	1
䜫	강,홍	10	10	水		0	1
䜭	예,준	12	12	水		0	1
䝬	주	12	12	金		0	1
䝮	현	12	12	金		0	1
䝽	애	15	15	金		0	1
䞒	동	13	13	火		0	1
䞟	백	12	12	火		0	1
䞭	준	14	14	火		0	1
䞻	용	16	16	火		0	1
䠯	약	24	24	土		0	1
䡣	헌	16	16	火		0	1
䢃	예	15	15	金		0	1
䢐	조	12	9	土		0	1
䢖	건,율	13	10	土		0	1
䢦	솔	18	15	土		0	1
䣊	당	15	11	土		0	1
䣜	차	18	14	土		0	1
䣡	의	20	16	土		0	1
䤥	귀	14	14	金		0	1
䤿	결	18	18	金		0	1
䦞	윤	15	15	木		0	1
䦥	한	16	16	木		0	1
䧋	현	15	10	土		0	1
䨍	영	12	12	水		0	1
䨒	우	14	14	水		3	1
䨭	소	19	19	水		0	1
䪯	영	19	19	金		0	1
䪸	민	14	14	火		2	1
䫟	운,혼	19	19	火		0	1
䫨	오	20	20	火		0	1
䫻	율	13	13	木		0	1
䬈	태	16	16	木		0	1
䭓	안,온	19	19	水		0	1
䭰	봉	17	17	木		0	1
䭱	별	17	17	木		0	1
䮨	재	20	20	火		0	1
䲅	규	22	22	水		1	1
䲻	연,현	16	16	火		0	1
䳟	명	19	19	火		0	1
䳠	수	19	19	火		0	1
䳲	진	21	21	火		0	1
䴛	소	18	18	水		0	1
䵥	울	18	18	水		0	1
一	일	1	1	木	한 일	4	1
丁	정	2	2	火	장정 정	4	0
七	칠	7	2	金	일곱 칠	4	1
万	만	3	3		일만 만	3	1
丈	장	3	3		어른 장	4	1
三	삼	3	3	火	석 삼	4	1
上	상	3	3		위 상	4	1
下	하	3	3		아래 하	4	1
丌	기	3	3			0	1
不	부,불	4	4		아닐 부	4	1
丑	축	4	4	土	소 축	3	1
且	차	5	5		또 차	4	1
丕	비	5	5		클 비	3	0
世	세	5	5		세상 세	4	1
丘	구	5	5		언덕 구	3	0
丙	병	5	5	火	남녘 병	4	1
丞	승	6	6		이을 승	3	1
丟	주	6	6		갈 주	2	1
並	병	8	8		竝과 同字	2	1
丨	곤	1	1		뚫다	0	1
丫	아	3	3		가장귀 아	1	1
中	중	4	4	土	가운데 중	4	0
丰	봉	4	4		예쁠 봉	1	0
丱	관	5	5		쌍상투 관	1	1
串	곶,관	7	7		땅이름 곶	4	1
丸	환	3	3		알 환	4	1
丹	난,단,란	4	4		붉을 단	3	0
主	주	5	5		주인 주	4	0
乂	예	2	2		풀 벨 예	3	1
乃	내	2	2		이에 내	3	1
久	구	3	3		오랠 구	4	0
之	지	3	3		갈 지	4	1
乍	사	5	5		잠깐 사	3	1
乎	호	5	5		인가 호	3	1
乏	핍	4	4		없을 핍	4	1
乖	괴	8	8		어그러질 괴	4	1
乘	승	10	10		오를 승	4	0
乙	을	1	1	木	새 을	4	1
九	구	9	2	水	아홉 구	4	1
乞	걸	3	3	木	구걸할 걸	4	1
也	야	3	3	木	단정의 어조사 야	4	1
乧	둘	5	5	木	음역자 둘	0	1
乫	갈	6	6	木	땅이름 갈	3	1
乬	걸	6	6	木	갈 걸	0	1
乭	돌	6	6	木	이름 돌	3	1
乳	유	8	8	木	젖 유	4	1
乶	볼	8	8	木	땅이름	3	1
乷	살	8	8	木	음역자 살	3	1
乹	건	9	9	木		0	1
乺	솔	9	9	木		0	1
乻	늘,얼	9	9	木		0	1
乼	줄	9	9	木	줄 줄	0	1
乾	건	11	11	木	하늘 건	4	0
亂	난,란	13	13	木	어지러울 난	4	1
了	료,요	2	2		마칠 료	4	1
予	여	4	4		자기 여	3	1
事	사	8	8		일 사	4	1
二	이	2	2	木	두 이	4	1
于	우	3	3		갈 우	3	1
云	운	4	4		이를 운	3	1
互	호	4	4		서로 호	4	1
五	오	5	4	土	다섯 오	4	1
井	정	4	4		우물 정	4	1
亘	긍,선	6	6		뻗칠	3	1
亙	긍	6	6		뻗칠 긍	1	1
些	사	8	8		적을 사	4	1
亜	아	7	7			1	1
亞	아	8	8		버금 아	4	1
亟	극	8	8		빠를 극	1	1
亡	망	3	3		망할 망	4	1
亢	항	4	4		목 항	3	1
交	교	6	6		사귈 교	4	1
亥	해	6	6	水	열 둘째 지지 해	3	0
亦	역	6	6		또 역	3	1
亨	형	7	7		형통할 형	3	0
享	향	8	8		드릴 향	4	1
京	경	8	8		서울 경	4	1
亭	정	9	9		정자 정	4	1
亮	량,양	9	9		밝을 량	4	0
亰	경	9	9			0	1
亳	박	10	10		땅이름 박	1	1
亴	우	12	12			0	1
亶	단	13	13		믿을 단	3	0
亹	미	22	22		힘쓸 미	0	0
人	인	2	2	火	사람 인	4	1
什	십,집	4	4	火	열 사람 십	4	0
仁	인	4	4	火	어질 인	4	0
仃	정	4	4	火		1	1
仄	측	4	4	火	기울 측	3	1
仇	구	4	4	火	짝 구	4	1
仉	장	4	4	火		0	1
今	금	4	4	火	이제 금	4	1
介	개	4	4	火	낄 개	4	1
仍	잉	4	4	火	인할 잉	3	1
仔	자	5	5	火	자세할 자	4	1
仕	사	5	5	火	벼슬할 사	3	0
他	타	5	5	火	다를 타	4	1
仗	장	5	5	火	병장기 장	4	1
付	부	5	5	火	줄 부	4	1
仙	선	5	5	火	신선 선	4	1
仚	현	5	5	火		0	1
仜	홍	5	5	火		0	1
仝	동	5	5	火	同의 古字	3	1
仞	인	5	5	火	길 인	1	0
仟	천	5	5	火	일천 천	3	1
仡	흘	5	5	火	날랠 흘	1	1
代	대	5	5	火	대신할 대	4	1
令	령,영	5	5	火	명령 령	4	1
以	이	4	4	火	써 이	4	1
仰	앙	6	6	火	우러를 앙	4	1
仱	금,긍	6	6	火		0	1
仲	중	6	6	火	버금 중	3	1
仳	비	6	6	火	떠날 비	1	1
仵	오	6	6	火	짝 오	1	1
件	건	6	6	火	조건 건	4	1
价	개	6	6	火	착할 개	3	0
任	임	6	6	火	맡길 임	4	0
份	빈	6	6	火		2	1
仿	방	6	6	火	헤멜 방	2	1
伀	종	6	6	火	두려워할 종	0	1
企	기	6	6	火	꾀할 기	3	1
伃	여	6	6	火		0	1
伈	심	6	6	火		0	1
伉	항	6	6	火	강직할 항	3	1
伊	이	6	6	火	저 이	3	0
伋	급	5	5	火	속일 급	3	1
伍	오	6	6	火	五의 갖은자	4	1
伎	기	6	6	火	재주 기	3	0
伏	복	6	6	火	엎드릴 복	4	1
伐	벌	6	6	火	칠 벌	3	1
休	휴	6	6	火	쉴 휴	4	1
伒	근	6	6	火		0	1
优	우	6	6	火		1	1
伙	화	6	6	火		2	1
会	회	6	6	火		1	1
伯	백	7	7	火	맏 백	4	1
估	고	7	7	火	값 고	2	1
伴	반	7	7	火	짝 반	4	1
伶	령,영	7	7	火	영리할 령	3	1
伷	주	7	7	火		0	1
伸	신	7	7	火	펼 신	4	0
伺	사	7	7	火	엿볼 사	4	1
伻	팽	7	7	火		0	1
似	사	6	6	火	같을 사	4	1
伽	가	7	7	火	절 가	3	1
伾	비	7	7	火		0	1
佂	정	7	7	火	두려워할 정	0	1
佃	전	7	7	火	밭 맬 전	3	1
但	단	7	7	火	다만 단	4	1
佇	저	7	7	火	오래 설 저	3	1
佈	포	7	7	火	펼칠 포	4	0
佉	거,구	7	7	火	나라이름 거	0	0
佋	소	7	7	火	소개할 소	0	1
位	위	7	7	火	벼슬 위	4	0
低	저	7	7	火	낮을 저	4	1
住	주	7	7	火	살 주	4	1
佐	좌	7	7	火	도울 좌	3	0
佑	우	7	7	火	도울 우	3	0
体	분	7	7	火	용렬할 분	1	1
佔	점	7	7	火	엿볼 점	1	1
何	하	7	7	火	어찌 하	4	1
佖	필	7	7	火	점잔피울 필	2	1
佗	타	7	7	火	다를 타	1	1
余	여	7	7	火	자기 여	3	0
佚	일	7	7	火	편안할 일	3	0
佛	불	7	7	火	부처 불	4	1
作	작	7	7	火	지을 작	4	1
佝	구	7	7	火	꼽추 구	1	1
佞	녕,영	7	7	火	재주 녕	1	0
佟	퉁	7	7	火		1	1
佩	패	8	8	火	패옥 패	4	1
佪	회	8	8	火	어정거릴 회	0	1
佯	양	8	8	火	거짓 양	3	1
佰	백	8	8	火	백사람의어른	4	1
佳	가	8	8	火	아름다울 가	3	0
佴	이	8	8	火		0	1
佶	길	8	8	火	건장할 길	3	1
佸	괄	8	8	火	힘 쓸 괄	0	1
佹	궤	8	8	火	포갤 궤	0	1
佺	전	8	8	火	신선이름	3	1
佻	조	8	8	火	방정맞을 조	1	1
佼	교	8	8	火	예쁠 교	1	0
佽	차	8	8	火	도울 차	0	0
佾	일	8	8	火	춤 일	3	1
使	사	8	8	火	하여금 사	4	1
侀	형	8	8	火		0	1
侁	신	8	8	火	떼지어 갈 신	3	1
侃	간	8	8	火	강직할 간	3	1
侄	질	8	8	火	어리석을 질	4	1
侅	해	8	8	火		0	1
來	내,래	8	8	火	올 내	4	1
侈	치	8	8	火	사치할 치	3	1
侉	과	8	8	火	자랑할 과	0	1
侊	광	8	8	火	성한 모양 광	3	1
例	례,예	8	8	火	법식 례	4	1
侍	시	8	8	火	모실 시	4	1
侎	미	8	8	火		0	1
侏	주	8	8	火	난쟁이 주	3	1
侐	혁	8	8	火		0	1
侑	유	8	8	火	도울 유	3	0
侒	안	8	8	火		0	1
侔	모	8	8	火	가지런 할 모	0	1
侖	륜,윤	8	8	火	둥글 륜	3	0
侗	동	8	8	火	무지할 동	1	1
侘	차	8	8	火	실의할 차	3	1
侚	순	8	8	火	좇을 순	0	1
供	공	8	8	火	이바지할 공	4	1
侜	주	8	8	火	속일 주	0	1
依	의	8	8	火	의지할 의	4	1
侞	여	8	8	火		0	1
侮	모	9	9	火	업신여길 모	3	1
侯	후	9	9	火	과녁 후	3	1
侲	진	9	9	火	동자 진	0	1
侵	침	9	9	火	범할 침	3	1
侶	려,여	9	9	火	짝 려	3	1
侹	정	8	8	火		0	1
侻	탈	9	9	火	간사할 탈	0	1
侽	남	9	9	火		0	1
侾	효	9	9	火		0	1
便	변,편	9	9	火	똥오줌 변	4	1
俁	우	9	9	火		0	1
係	계	9	9	火	걸릴 계	4	1
促	촉	9	9	火	핍박할 촉	4	1
俄	아	9	9	火	갑자기 아	3	1
俅	구	9	9	火	공손할 구	0	0
俉	오	9	9	火	맞이할 오	3	1
俊	준	9	9	火	준걸 준	3	0
俌	보	9	9	火	도울 보	0	0
俍	량,양	9	9	火		0	1
俎	조	9	9	火	도마 조	3	1
俏	초	9	9	火	거문고 뒤치는 소리 소	1	1
俐	리,이	9	9	火	똑똑할 리	2	1
俑	용	9	9	火	시체와 함께 매장하는	3	1
俒	혼	9	9	火		0	1
俓	경	9	9	火	徑과 同字	3	1
俔	현	9	9	火	연탐할 현	3	1
俖	배	9	9	火		0	1
俗	속	9	9	火	익을 속	4	1
俘	부	9	9	火	사로잡을 부	1	1
俙	희	9	9	火		2	1
俚	리,이	9	9	火	속될 리	3	1
俛	면	9	9	火	힘쓸 면	0	0
保	보	9	9	火	지킬 보	4	0
俞	유	9	9	火		1	1
俟	사	9	9	火	기다릴 사	3	1
俠	협	9	9	火	의기 협	4	1
信	신	9	9	火	믿을 신	4	0
俣	오	9	9	火	갈래질 오	1	1
俤	제	9	9	火		0	1
修	수	9	9	火	닦을 수	4	0
俯	부	10	10	火	구푸릴 부	3	1
俰	화	10	10	火	화할 화	0	0
俱	구	10	10	火	함께 구	3	1
俳	배	10	10	火	광대 배	3	1
俴	천	10	10	火	엷을 천	0	1
俵	표	10	10	火	나누어 줄 표	3	1
俶	숙	10	10	火	비롯할 숙	1	1
俸	봉	10	10	火	녹 봉	3	1
俺	엄	10	10	火	자기 엄	3	1
俽	흔	10	10	火		0	1
俾	비	10	10	火	더할 비	1	1
倀	창	10	10	火	미칠 창	1	1
倂	병	10	10	火	아우를 병	3	1
倅	쉬	10	10	火	버금 쉬	1	1
倆	량,양	10	10	火	재주 량	3	0
倇	원	10	10	火		0	1
倈	래	10	10	火		1	1
倉	창	10	10	火	곳집 창	4	1
個	개	10	10	火	낱 개	4	1
倌	관	10	10	火		1	1
倍	배	10	10	火	곱 배	4	1
倏	숙	10	10	火	잠간 숙	1	1
們	문	10	10	火	들 문	4	0
倒	도	10	10	火	넘어질 도	4	1
倓	담	10	10	火		0	1
倔	굴	10	10	火	딱딱할 굴	1	1
倕	수	10	10	火		0	1
倖	행	10	10	火	요행 행	4	1
倘	당	10	10	火	혹시 당	1	1
候	후	10	10	火	물을 후	4	1
倚	의	10	10	火	기댈 의	4	1
倛	기	10	10	火		0	1
倜	척	10	10	火	대범할 척	3	1
倞	경	10	10	火	굳셀 경	3	0
借	차	10	10	火	빌 차	4	1
倡	창	10	10	火	여광대 창	4	1
倢	첩	10	10	火	빠를 첩	1	1
倣	방	10	10	火	본뜰 방	4	1
値	치	10	10	火	값 치	3	1
倥	공	10	10	火	어리석을 공	1	1
倦	권	10	10	火	게으를 권	4	1
倧	종	10	10	火	상고 신인 종	3	1
倨	거	10	10	火	거만할 거	3	1
倩	천	10	10	火	예쁠 천	1	0
倪	예	10	10	火	어릴 예	3	1
倫	륜,윤	10	10	火	인륜 륜	3	1
倬	탁	10	10	火	환할 탁	3	0
倭	왜	10	10	火	나라이름 왜	3	0
倮	나,라	10	10	火	알몸 라	0	1
倰	능,릉	10	10	火	속일 릉	0	1
倲	동	10	10	火		0	1
倻	야	10	10	火	땅이름 야	3	1
偀	영	10	10	火		0	1
偃	언	11	11	火	자빠질 언	3	1
偄	난	11	11	火	언약할 난	0	1
偆	준	11	11	火		0	1
假	가	11	11	火	거짓 가	4	1
偈	게	11	11	火	쉴 게	3	1
偉	위	11	11	火	클 위	4	0
偊	우	11	11	火		0	1
偎	외	11	11	火	사랑할 외	1	0
偏	편	11	11	火	치우칠 편	3	1
偓	악	11	11	火	거리낄 악	0	1
偕	해	11	11	火	함께할 해	3	1
偗	성	11	11	火		0	1
偘	간	11	11	火	侃과 同字	0	1
偙	제	11	11	火		0	1
做	주	11	11	火	지을 주	4	1
停	정	11	11	火	머무를 정	4	1
偞	엽	11	11	火		0	1
偠	요	11	11	火	허리 가늘 요	0	1
偢	초	11	11	火	얼이 빠져 있을 초	0	0
健	건	10	10	火	굳셀 건	4	0
偦	서	11	11	火		0	1
偪	핍	11	11	火	핍박할 핍	0	1
偰	설	11	11	火	맑을 설	0	0
偲	시	11	11	火	간절히 책망할 시	1	1
偳	단	11	11	火		0	1
側	측	11	11	火	곁 측	4	1
偵	정	11	11	火	엿볼 정	3	1
偶	우	11	11	火	짝지울 우	4	1
偸	투	11	11	火	훔칠 투	3	1
傀	괴	11	11	火	클 괴	3	0
傃	소	12	12	火		0	1
傅	부	12	12	火	스승 부	4	0
傋	강	12	12	火	아첨 아니할 강	0	1
傍	방	12	12	火	곁 방	4	1
傑	걸	12	12	火	호걸 걸	3	1
傒	혜	12	12	火	묶을 혜	0	1
傔	겸	12	12	火	겸종 겸	0	1
傕	각	12	12	火		1	1
傖	창	12	12	火	천할 창	1	1
傘	산	12	12	火	우산 산	4	1
備	비	12	12	火	깆출 비	4	1
傚	효	12	12	火	본받을 효	1	1
傛	용	12	12	火	혁혁할 용	0	1
傝	탑	12	12	火	답답할 탑	0	1
傞	사	11	11	火	취하여 춤추는 모양 사	0	1
催	최	13	13	火	재촉할 최	4	1
傭	용	13	13	火	머슴 용	3	1
傮	조	13	13	火	마칠 조	0	1
傲	오	12	12	火	업신여길 오	4	1
傳	전	13	13	火	전할 전	4	1
傴	구	13	13	火	구부릴 구	0	1
債	채	13	13	火	빚 채	3	1
傷	상	13	13	火	상처 상	4	1
傹	경	13	13	火		0	1
傽	장	13	13	火	놀랄 장	0	1
傾	경	13	13	火	기울 경	4	1
傿	언	13	13	火	鄢과 同字	0	1
僀	제	13	13	火		0	1
僂	누,루	13	13	火	구부릴 루	1	1
僄	표	13	13	火	몸이 가벼울 표	0	1
僅	근	13	13	火	겨우 근	4	1
僆	련,연	12	12	火		0	1
僉	첨	13	13	火	다 첨	3	1
僊	선	14	14	火	춤출 선	3	1
僌	웅	13	13	火		0	1
働	동	13	13	火		1	1
僎	선,준	14	14	火		1	1
像	상	13	13	火	형상 상	4	1
僑	교	14	14	火	높을 교	4	0
僔	준	14	14	火		0	1
僕	복	14	14	火	종 복	4	1
僖	희	14	14	火	기쁠 희	3	0
僙	광	13	13	火		0	1
僚	료,요	14	14	火	동료 료	3	1
僛	기	14	14	火	취하여 춤추는 모양 기	0	1
僞	위	14	14	火	거짓 위	3	1
僡	혜	14	14	火		0	1
僢	천	14	14	火	어그러질 천	0	1
僥	요	14	14	火	거짓 요	4	1
僦	추	14	14	火	임금 추	0	1
僧	승	14	14	火	중 승	3	1
僩	한	14	14	火	노할 한	1	1
僬	초	14	14	火	밝게 살필 초	0	1
僭	참	14	14	火	참람할 참	3	1
僮	동	14	14	火	아이 동	1	1
僵	강	15	15	火	엎드러질 강	1	1
僶	민	15	15	火		0	1
價	가	15	15	火	값 가	4	1
僻	벽	15	15	火	후미질 벽	3	1
僾	애	15	15	火	어렴풋할 애	0	1
僿	사	15	15	火	잘게 부슬 사	3	1
儀	의	15	15	火	꼴 의	3	1
儁	준	14	14	火	雋·俊과 同字	3	1
儃	천	15	15	火	머뭇거릴 천	0	1
億	억	15	15	火	억 억	4	1
儆	경	14	14	火	경계할 경	3	1
儇	현	15	15	火	영리할 현	0	1
儉	검	15	15	火	검소할 검	3	1
儋	담	15	15	火	기운차고 날쌜해집 담	0	1
儌	요	15	15	火		0	1
儐	빈	16	16	火	인도할 빈	2	1
儒	유	16	16	火	선비 유	3	0
儓	대	16	16	火	하인 대	0	1
儔	주	16	16	火	무리 주	1	1
儕	제	16	16	火	동배 제	1	1
儗	의	16	16	火	서로 못믿을 의	0	0
儘	진	16	16	火	盡과 同字	1	1
儛	무	16	16	火	舞와 同字	0	1
儜	녕,영	16	16	火	고달플 녕	0	1
償	상	17	17	火	갚을 상	3	1
儡	뇌,뢰	17	17	火	영락할 뢰	3	1
儢	려,여	17	17	火	맘에 하기 싫을 려	0	1
儤	포	17	17	火		0	1
儥	육	17	17	火	팔 육	0	1
儧	찬	17	17	火	모일 찬	0	1
儩	사	17	17	火		0	1
優	우	17	17	火	넉넉할 우	4	0
儫	호	16	16	火	영웅 호	0	1
儱	농,롱	18	18	火	건목칠 롱	0	1
儲	저	17	17	火	쌓을 저	4	1
儳	참	19	19	火	어긋날 참	1	1
儵	숙	18	18	火	잿빛 숙	0	1
儷	려,여	21	21	火	짝 려	3	1
儸	나,라	21	21	火		1	1
儹	찬	21	21	火	모을 찬	0	1
儺	나	21	21	火	역귀 쫓을 나	3	1
儻	당	22	22	火	빼어날 당	1	0
儼	엄	21	21	火	공경할 엄	3	1
儿	인	2	2		어진사람	1	1
兀	올	3	3		우뚝할 올	3	1
允	윤	4	4		미쁠 윤	3	0
元	원	4	4		으뜸 원	4	0
兄	형	5	5		맏이 형	4	1
充	충	6	6		가득찰 충	4	1
兆	조	6	6		조짐 조	3	1
兇	흉	6	6		흉악할 흉	4	1
先	선	6	6		먼저 선	4	1
光	광	6	6		빛 광	4	0
克	극	7	7		이길 극	4	1
兌	태	7	7		기쁠 태	3	0
免	면	7	7		면할 면	4	1
兎	토	7	7		兔의 俗字	3	1
児	아	7	7			1	1
兒	아,예	8	8		아이 아	4	1
兔	토	8	8			2	1
兕	시	7	7		외뿔난 소 시	1	1
兖	연	8	8			1	1
兗	연	9	9		고을이름 연	1	0
兜	두	11	11		투구 두	4	1
兟	신	12	12			0	1
兢	긍	14	14		삼갈 긍	4	0
兤	황	20	20			0	1
入	입	2	2		들 입	4	0
內	내	4	4		안 내	4	1
全	전	6	6		온전할 전	4	0
兩	량,양	8	8		두 량	4	1
兪	유	9	9		그럴 유	3	0
八	팔	8	2	金	여덟 팔	4	1
公	공	4	4		공변될 공	4	1
六	륙,육	6	4	土	여섯 륙	4	1
兮	혜	4	4		어조사 혜	3	1
共	공	6	6		함께 공	4	1
兵	병	7	7		군사 병	4	1
其	기	8	8		그 기	4	1
具	구	8	8		갖출 구	4	0
典	전	8	8		책 전	4	0
兼	겸	10	10		겸할 겸	4	1
冀	기	16	16		바랄 기	4	1
冂	경	2	2		멀다	0	0
円	엔	4	4		일본화폐단위	3	1
冉	염	5	5		가는 털 늘어질 염	1	1
冊	책	5	5		책 책	4	0
册	책	5	5			2	1
再	재	6	6		두 번 재	4	1
冏	경	7	7		빛날 경	2	0
冑	주	9	9			2	1
冒	모	9	9		가릴 모	4	1
冓	구	10	10		재목 어긋매겨 쌓을 구	0	1
冗	용	4	4		宂과 同字	3	1
冘	유	4	4		머뭇거릴 유	0	1
冞	미	8	8			0	1
冠	관	9	9		갓 관	4	1
冢	총	10	10			1	1
冣	취	10	10		쌓을 취	0	1
冤	원	10	10		원통할 원	1	0
冥	명	10	10		어두울 명	4	1
冪	멱	15	15		덮을 멱	3	1
冬	동	5	5	水	겨울 동	4	1
冱	호	6	6	水	찰 호	0	1
冲	충	6	6	水	깊을 충	1	0
冶	야	7	7	水	단련할 야	4	1
冷	냉,랭	7	7	水	차가울 냉	4	1
冽	렬,열	8	8	水	찰 렬	3	1
冾	협	8	8	水		1	1
冿	전,점	8	8	水		0	1
凄	처	10	10	水	쓸쓸할 처	3	1
凅	고	10	10	水	얼어붙을 고	0	1
准	준	10	10	水	승인할 준	4	1
凈	정	10	10	水		1	1
凉	량,양	10	10	水	涼의 俗字	3	1
凊	청	10	10	水	서늘할 청	0	1
凋	조	10	10	水	시들 조	4	1
凌	능,릉	10	10	水	얼음 능	3	1
凍	동	10	10	水	얼 동	4	1
凑	주	11	11	水		1	1
凒	의	12	12	水	눈서리 쌓일 의	0	1
凔	창	12	12	水	찰 창	0	1
凖	준	12	12	水		1	1
凛	늠,름	15	15	水	찰 름	1	1
凜	늠,름	15	15	水	찰 늠	4	1
凝	응	16	16	水	엉길 응	3	1
凞	희	16	16	水	빛날 희	3	0
几	궤	2	2		안석 궤	1	1
凡	범	3	3		무릇 범	4	1
処	처	5	5			1	1
凭	빙	8	8		기대다 빙	1	1
凰	황	11	11		봉황새 황	3	0
